Title,Price,Region,Bedrooms,Floor Area,Lot Area,URL,Image Link,Barangay,Town/City,Longitude,Latitude,price_per_sqm,id,Price_log
"Spacious Bungalow House and Lot For Sale in BF Almanza, Las Piñas City",17200000,Metro Manila,4,200,285,https://www.lamudi.com.ph/spacious-bungalow-house-and-lot-for-sale-in-bf-alm-168371638732.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/81122b349eb26f.webp,Almanza Dos,Las Piñas,121.0078767,14.4023926,60350.87719298246,10562,16.660419941783683
2 Storey Spacious Townhouse For Sale in BF Resort Village Las Pinas City,8800000,Metro Manila,4,189,120,https://www.lamudi.com.ph/2-storey-spacious-townhouse-for-sale-in-bf-resort-167955091257.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ba0d81b4dc0cef.webp,Talon Dos,Las Piñas,120.99425,14.43276,73333.33333333333,10562,15.990262279448435
Brand New Townhouse near Dona Soledad Ave. with Peaceful Neighborhood,10057000,Metro Manila,3,126,77,https://www.lamudi.com.ph/brand-new-house-nad-lot-near-dona-soledad-ave-with-166692436434.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/979454ec5a52fd.webp,Don Bosco,Parañaque,121.024909,14.482705,130610.3896103896,10562,16.12377946742662
Perfect Family Home For Sale in Angela Village Las Piñas City,10000000,Metro Manila,4,280,204,https://www.lamudi.com.ph/perfect-family-home-for-sale-in-angela-village-las-pinas-city-6.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/01f43694410867.webp,Talon Kuatro,Las Piñas,120.9997847,14.4371254,49019.60784313725,10562,16.11809565095832
"Impressive Modern House and Lot For Sale in BF Homes, Las Piñas",13500000,Metro Manila,4,155,179,https://www.lamudi.com.ph/impressive-modern-house-and-lot-for-sale-in-bf-homes-las-pinas-16.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/02529fcadde822.webp,B.F. International Village,Las Piñas,121.0061146,14.4508188,75418.99441340783,10562,16.41820024340866
2 Storey Well Maintained Single Attached House in Las Pinas city,10000000,Metro Manila,4,280,204,https://www.lamudi.com.ph/2-storey-well-maintained-single-attached-house-in-167629216549.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/6b27ba64d65589.webp,Talon Kuatro,Las Piñas,121.00013,14.43739,49019.60784313725,10562,16.11809565095832
Newly Renovated Modern Bungalow House in Talon Dos Las Piñas City,10000000,Metro Manila,3,100,255,https://www.lamudi.com.ph/newly-renovated-modern-bungalow-house-in-talon-dos-168248141882.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/ba242bc33282b9.webp,Talon Uno,Las Piñas,120.985214,14.438526,39215.68627450981,10562,16.11809565095832
2 Storey brand New Modern Design in Las Pinas City near Moonwalk,7600000,Metro Manila,4,130,115,https://www.lamudi.com.ph/2-storey-brand-new-modern-design-in-las-pinas-city-168240985592.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/88148d1202dac6.webp,Talon Singko,Las Piñas,120.996723,14.422561,66086.95652173914,10562,15.84365880525656
6 BEDROOMS WITH DOUBLE HEIGHT CEILING HOUSE IN BF RESORT VILLAGE LAS PINAS,18500000,Metro Manila,5,295,180,https://www.lamudi.com.ph/6-bedrooms-with-double-height-ceiling-house-in-bf-168422062668.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/d61e5e09c07e8c.webp,Talon Dos,Las Piñas,120.985214,14.438526,102777.77777777778,10562,16.733281290048552
Ready For Occupancy Single Detached House In Pilar Village Las Pinas City,7200000,Metro Manila,4,126,120,https://www.lamudi.com.ph/ready-for-occupancy-single-detached-house-in-pilar-168068840776.html,https://static-ph.lamudi.com/static/media/bm9uZS9ub25l/2x2x2x360x230/1142d22ea41a0c.webp,Pilar,Las Piñas,121.0080137,14.417168,60000.0,10562,15.789591583986283
